No,Jenis Sampah Plastik,Link Rekomendasi
1,Botol,https://youtube.com/playlist?list=PL-9Q_cqESEgmWhzEXvp0IsL2e0mGFXGRf&si=AiJYLtl4EMxEuPNI
2,Bubble Wrap,https://youtube.com/playlist?list=PLFQ7ZUgtJN4Z_LlW6pG24pFm_lBD-Enub&si=RFHClgthi5G7B_7Z
3,Cup,https://youtube.com/playlist?list=PLFQ7ZUgtJN4a5OWqm-6S6uFMTu0v_fQ8Q&si=UOVW-ED5JIMzn0W1
4,Derigen,https://youtube.com/playlist?list=PLFQ7ZUgtJN4ZKbzDZVab2zm2Q-oWFHZlj&si=eo-KXHVjXxzouB2K
5,Ember,https://youtube.com/playlist?list=PLFQ7ZUgtJN4Y8VHXdoklYttssKtwzIY0T&si=B87bt--OelS1n5RQ
6,Galon,https://youtube.com/playlist?list=PL-9Q_cqESEgm19O7Yx6Y3hsgCTXS8YkDU&si=2eQoEMAZuOyhB-lP
7,Kontainer,https://youtube.com/playlist?list=PL-9Q_cqESEgkiPWTeCLiudAWuRoVN3D_i&si=1unr87ogvptHZnJD
8,Mika Makanan ,https://youtube.com/playlist?list=PL-9Q_cqESEgkiPWTeCLiudAWuRoVN3D_i&si=1unr87ogvptHZnJD
9,Piring,https://youtube.com/playlist?list=PLFQ7ZUgtJN4ZjFpbfPVg82kyMLIRjc7VG&si=Vng--6ydABlQgGuf
10,Plastik Kemasan,https://youtube.com/playlist?list=PLFQ7ZUgtJN4b7CGcp4LYMn2T4okChOApL&si=BJ-Meoy0IxkAd-vS
11,Plastik Kresek,https://youtube.com/playlist?list=PLFQ7ZUgtJN4aWwUAp8XlHDQp0gvqAvkn8&si=UvFMnSKIalg5n037
12,Sedotan,https://youtube.com/playlist?list=PLFQ7ZUgtJN4ZQm-mNcWjIegdnWhmEf6ip&si=D-VDGYHB3za491FF
13,Toples,https://youtube.com/playlist?list=PL-9Q_cqESEgnnPCIbxW4ZK8DEPUzdSvEa&si=D-mQXvkBf2-Bgc9H
14,Tube,https://youtube.com/playlist?list=PL-9Q_cqESEgmWhzEXvp0IsL2e0mGFXGRf&si=AiJYLtl4EMxEuPNI
