No,Jenis Sampah Plastik,Harga Sebelum Daur Ulang,Harga Setelah Daur Ulang,Sebelum,Setelah
1,Botol," Rp1,500.00 - Rp6,100.00 "," Rp20,000.00 - Rp150,000.00 ", 1500 - 6100 , 20000 - 150000 
2,Bubble Wrap," Rp1,300.00 - Rp1,800.00 "," Rp10,000.00 - Rp200,000.00 ", 1300 - 1800 , 10000 - 200000 
3,Cup," Rp1,800.00 - Rp3,800.00 "," Rp25,000.00 - Rp135,000.00 ", 1800 - 3800 , 25000 - 135000 
4,Derigen," Rp1,000.00 - Rp2,500.00 "," Rp10,000.00 - Rp150,000.00 ", 1000 - 2500 , 10000 - 150000 
5,Ember," Rp1,000.00 - Rp2,500.00 "," Rp20,000.00 - Rp300,000.00 ", 1000 - 2500 , 20000 - 300000 
6,Galon," Rp600.00 - Rp4,000.00 "," Rp10,000.00 - Rp150,000.00 ", 600 - 4000 , 10000 - 150000 
7,Kontainer," Rp3,200.00 - Rp3,500.00 "," Rp25,000.00 - Rp100,000.00 ", 3200 - 3500 , 25000 - 100000 
8,Mika Makanan , Rp0.00 - Rp400.00 ," Rp25,000.00 - Rp100,000.00 ", 0 - 400 , 25000 - 100000 
9,Piring," Rp1,800.00 - Rp3,800.00 "," Rp15,000.00 - Rp200,000.00 ", 1800 - 3800 , 15000 - 200000 
10,Plastik Kemasan, Rp0.00 - Rp240.00 ," Rp10,000.00 - Rp200,000.00 ", 0 - 240 , 10000 - 200000 
11,Plastik Kresek, Rp240.00 - Rp500.00 ," Rp10,000.00 - Rp100,000.00 ", 240 - 500 , 10000 - 100000 
12,Sedotan," Rp1,000.00 - Rp1,200.00 "," Rp5,000.00 - Rp150,000.00 ", 1000 - 1200 , 5000 - 150000 
13,Toples," Rp3,200.00 - Rp3,500.00 "," Rp10,000.00 - Rp150,000.00 ", 3200 - 3500 , 10000 - 150000 
14,Tube," Rp1,400.00 - Rp6,200.00 "," Rp10,000.00 - Rp150,000.00 ", 1400 - 6200 , 10000 - 150000 
